filename,image_path,mask_path
ISIC_0000000,data/processed/images/ISIC_0000000.png,data\processed\masks\ISIC_0000000_segmentation.png
ISIC_0000001,data/processed/images/ISIC_0000001.png,data\processed\masks\ISIC_0000001_segmentation.png
ISIC_0000003,data/processed/images/ISIC_0000003.png,data\processed\masks\ISIC_0000003_segmentation.png
ISIC_0000004,data/processed/images/ISIC_0000004.png,data\processed\masks\ISIC_0000004_segmentation.png
ISIC_0000006,data/processed/images/ISIC_0000006.png,data\processed\masks\ISIC_0000006_segmentation.png
ISIC_0000007,data/processed/images/ISIC_0000007.png,data\processed\masks\ISIC_0000007_segmentation.png
ISIC_0000008,data/processed/images/ISIC_0000008.png,data\processed\masks\ISIC_0000008_segmentation.png
ISIC_0000009,data/processed/images/ISIC_0000009.png,data\processed\masks\ISIC_0000009_segmentation.png
ISIC_0000011,data/processed/images/ISIC_0000011.png,data\processed\masks\ISIC_0000011_segmentation.png
ISIC_0000012,data/processed/images/ISIC_0000012.png,data\processed\masks\ISIC_0000012_segmentation.png
ISIC_0000013,data/processed/images/ISIC_0000013.png,data\processed\masks\ISIC_0000013_segmentation.png
ISIC_0000014,data/processed/images/ISIC_0000014.png,data\processed\masks\ISIC_0000014_segmentation.png
ISIC_0000015,data/processed/images/ISIC_0000015.png,data\processed\masks\ISIC_0000015_segmentation.png
ISIC_0000016,data/processed/images/ISIC_0000016.png,data\processed\masks\ISIC_0000016_segmentation.png
ISIC_0000017,data/processed/images/ISIC_0000017.png,data\processed\masks\ISIC_0000017_segmentation.png
ISIC_0000018,data/processed/images/ISIC_0000018.png,data\processed\masks\ISIC_0000018_segmentation.png
ISIC_0000019,data/processed/images/ISIC_0000019.png,data\processed\masks\ISIC_0000019_segmentation.png
ISIC_0000020,data/processed/images/ISIC_0000020.png,data\processed\masks\ISIC_0000020_segmentation.png
ISIC_0000021,data/processed/images/ISIC_0000021.png,data\processed\masks\ISIC_0000021_segmentation.png
ISIC_0000022,data/processed/images/ISIC_0000022.png,data\processed\masks\ISIC_0000022_segmentation.png
ISIC_0000023,data/processed/images/ISIC_0000023.png,data\processed\masks\ISIC_0000023_segmentation.png
ISIC_0000024,data/processed/images/ISIC_0000024.png,data\processed\masks\ISIC_0000024_segmentation.png
ISIC_0000025,data/processed/images/ISIC_0000025.png,data\processed\masks\ISIC_0000025_segmentation.png
ISIC_0000026,data/processed/images/ISIC_0000026.png,data\processed\masks\ISIC_0000026_segmentation.png
ISIC_0000027,data/processed/images/ISIC_0000027.png,data\processed\masks\ISIC_0000027_segmentation.png
ISIC_0000028,data/processed/images/ISIC_0000028.png,data\processed\masks\ISIC_0000028_segmentation.png
ISIC_0000029,data/processed/images/ISIC_0000029.png,data\processed\masks\ISIC_0000029_segmentation.png
ISIC_0000030,data/processed/images/ISIC_0000030.png,data\processed\masks\ISIC_0000030_segmentation.png
ISIC_0000031,data/processed/images/ISIC_0000031.png,data\processed\masks\ISIC_0000031_segmentation.png
ISIC_0000032,data/processed/images/ISIC_0000032.png,data\processed\masks\ISIC_0000032_segmentation.png
ISIC_0000034,data/processed/images/ISIC_0000034.png,data\processed\masks\ISIC_0000034_segmentation.png
ISIC_0000035,data/processed/images/ISIC_0000035.png,data\processed\masks\ISIC_0000035_segmentation.png
ISIC_0000036,data/processed/images/ISIC_0000036.png,data\processed\masks\ISIC_0000036_segmentation.png
ISIC_0000037,data/processed/images/ISIC_0000037.png,data\processed\masks\ISIC_0000037_segmentation.png
ISIC_0000038,data/processed/images/ISIC_0000038.png,data\processed\masks\ISIC_0000038_segmentation.png
ISIC_0000039,data/processed/images/ISIC_0000039.png,data\processed\masks\ISIC_0000039_segmentation.png
ISIC_0000040,data/processed/images/ISIC_0000040.png,data\processed\masks\ISIC_0000040_segmentation.png
ISIC_0000041,data/processed/images/ISIC_0000041.png,data\processed\masks\ISIC_0000041_segmentation.png
ISIC_0000042,data/processed/images/ISIC_0000042.png,data\processed\masks\ISIC_0000042_segmentation.png
ISIC_0000043,data/processed/images/ISIC_0000043.png,data\processed\masks\ISIC_0000043_segmentation.png
ISIC_0000044,data/processed/images/ISIC_0000044.png,data\processed\masks\ISIC_0000044_segmentation.png
ISIC_0000045,data/processed/images/ISIC_0000045.png,data\processed\masks\ISIC_0000045_segmentation.png
ISIC_0000046,data/processed/images/ISIC_0000046.png,data\processed\masks\ISIC_0000046_segmentation.png
ISIC_0000047,data/processed/images/ISIC_0000047.png,data\processed\masks\ISIC_0000047_segmentation.png
ISIC_0000048,data/processed/images/ISIC_0000048.png,data\processed\masks\ISIC_0000048_segmentation.png
ISIC_0000049,data/processed/images/ISIC_0000049.png,data\processed\masks\ISIC_0000049_segmentation.png
ISIC_0000050,data/processed/images/ISIC_0000050.png,data\processed\masks\ISIC_0000050_segmentation.png
ISIC_0000051,data/processed/images/ISIC_0000051.png,data\processed\masks\ISIC_0000051_segmentation.png
ISIC_0000052,data/processed/images/ISIC_0000052.png,data\processed\masks\ISIC_0000052_segmentation.png
ISIC_0000053,data/processed/images/ISIC_0000053.png,data\processed\masks\ISIC_0000053_segmentation.png
ISIC_0000054,data/processed/images/ISIC_0000054.png,data\processed\masks\ISIC_0000054_segmentation.png
ISIC_0000055,data/processed/images/ISIC_0000055.png,data\processed\masks\ISIC_0000055_segmentation.png
ISIC_0000056,data/processed/images/ISIC_0000056.png,data\processed\masks\ISIC_0000056_segmentation.png
ISIC_0000057,data/processed/images/ISIC_0000057.png,data\processed\masks\ISIC_0000057_segmentation.png
ISIC_0000058,data/processed/images/ISIC_0000058.png,data\processed\masks\ISIC_0000058_segmentation.png
ISIC_0000059,data/processed/images/ISIC_0000059.png,data\processed\masks\ISIC_0000059_segmentation.png
ISIC_0000060,data/processed/images/ISIC_0000060.png,data\processed\masks\ISIC_0000060_segmentation.png
